Sample 2,,
Wavelength (nm),Intensity (a.u.),
400,21.20185661,
401.9599915,21.63446426,
403.9299927,32.31271362,
406.0599976,42.58424759,
408.0299988,49.29401398,
410,66.46925354,
412,83.42770386,
414,99.52667236,
416,124.3543167,
418,153.0892487,
420,174.9168701,
421.9599915,205.9720917,
423.9299927,239.0657349,
426.0599976,294.1101074,
428.0299988,328.9243774,
430,348.8769226,
432,388.2450867,
434,401.1461487,
436,438.4255066,
438,454.8501282,
440,457.4924316,
441.9599915,473.2877502,
443.9299927,465.4438477,
446.0599976,483.2718506,
448.0299988,478.3587341,
450,468.8914185,
451.9599915,446.2419739,
453.9299927,444.0118103,
456.0599976,443.3416138,
458.0299988,424.3577271,
460,396.7715149,
461.9599915,409.1226807,
463.9299927,388.7225037,
466.0599976,371.497467,
468.0299988,352.6598206,
470,352.2316895,
471.9400024,305.6315613,
474.019989,299.0347595,
475.9700012,297.4663696,
478.0499878,285.7505798,
480,257.4431763,
481.9599915,244.8288727,
483.9299927,225.9922791,
486.0599976,212.1078491,
488.0299988,209.6483154,
490,187.4920959,
491.9400024,166.4156647,
494.019989,172.9281158,
495.9700012,166.0241394,
498.0499878,148.6691132,
500,133.3041229,
501.9599915,129.9290924,
503.9299927,126.0073776,
506.0599976,118.4883804,
508.0299988,105.0194016,
510,96.65908051,
511.9400024,99.08718872,
514.0200195,81.54644012,
515.9699707,79.83112335,
518.0499878,73.79814911,
520,71.7261734,
521.9400024,73.23088837,
524.0200195,59.30702972,
525.9699707,61.33864975,
528.0499878,56.09835052,
530,54.49503326,
531.9400024,49.88884735,
534.0200195,53.07138062,
535.9699707,42.36307526,
538.0499878,50.20300293,
540,45.81931305,
542.0499878,36.6281662,
543.9699707,36.89583588,
546.0200195,29.9576683,
547.9400024,32.56268311,
550,32.62347031,
551.9400024,26.84217262,
554.0200195,23.78612137,
555.9699707,21.43467712,
558.0499878,24.82153511,
560,22.7629509,
562.0499878,22.44844627,
563.9699707,20.37373543,
566.0200195,21.1193943,
567.9400024,16.32057381,
570,17.28479004,
571.9400024,19.99480629,
574.0200195,15.06664085,
575.9699707,18.65911674,
578.0499878,17.84420967,
580,14.60608864,
582.0499878,14.97883415,
583.9699707,16.35072517,
586.0200195,15.49424744,
587.9400024,15.10262012,
590,13.9024229,
592.0499878,15.05888462,
593.9699707,16.497715,
596.0200195,13.63844967,
597.9400024,16.51424408,
600,18.10333633,

Sample 2,
Sample 2
Collection Time: 5/9/2025 6:57:18 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY15240001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/9/2025 6:30:17 PM
Method Modifications:
PMT Volts Changed: 5/9/2025 6:56:16 PM, Old:600, New:800
Autoconvert Changed: 5/9/2025 6:56:16 PM, Old:None, New:Ascii with Log
Scan Control Changed: 5/9/2025 6:56:16 PM, Old:Medium, New:Fast
Emission PMT (V): Changed: 5/9/2025 6:56:16 PM, Old: 600, New: 800
Excitation Wavelength Changed: 5/9/2025 6:56:16 PM, Old: 350.00, New: 340.00
Data interval: Changed: 5/9/2025 6:56:16 PM, Old:   1.00, New:   2.00
Ex. Slit Width (nm): Changed: 5/9/2025 6:57:13 PM, Old:5, New:2.5
End Method Modifications

